RRAS,DEPARTAMENTO REGIONAL DE SAÚDE,REGIÃO DE SAÚDE,Município
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,353880 Piraju
RRAS 09,3506 BAURU,35062 BAURU,353890 Pirajuí
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,353900 Pirangi
RRAS 05,3501 GRANDE SÃO PAULO,35014 ROTA DOS BANDEIRANTES,353910 Pirapora do Bom Jesus
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,353920 Pirapozinho
RRAS 14,3510 PIRACICABA,35101 ARARAS,353930 Pirassununga
RRAS 09,3506 BAURU,35062 BAURU,353940 Piratininga
RRAS 13,3513 RIBEIRÃO PRETO,35131 HORIZONTE VERDE,353950 Pitangueiras
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,353960 Planalto
RRAS 10,3509 MARÍLIA,35092 ASSIS,353970 Platina
RRAS 02,3501 GRANDE SÃO PAULO,35011 ALTO DO TIETÊ,353980 Poá
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,353990 Poloni
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,354000 Pompéia
RRAS 09,3506 BAURU,35065 LINS,354010 Pongaí
RRAS 13,3513 RIBEIRÃO PRETO,35131 HORIZONTE VERDE,354020 Pontal
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,354025 Pontalinda
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,354030 Pontes Gestal
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35154 FERNANDÓPOLIS,354040 Populina
RRAS 09,3506 BAURU,35063 POLO CUESTA,354050 Porangaba
RRAS 08,3516 SOROCABA,35163 SOROCABA,354060 Porto Feliz
RRAS 13,3503 ARARAQUARA,35034 CORAÇÃO DO DRS III,354070 Porto Ferreira
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,354075 Potim
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35155 SÃO JOSÉ DO RIO PRETO,354080 Potirendaba
RRAS 10,3509 MARÍLIA,35091 ADAMANTINA,354085 Pracinha
RRAS 13,3513 RIBEIRÃO PRETO,35131 HORIZONTE VERDE,354090 Pradópolis
RRAS 07,3504 BAIXADA SANTISTA,35041 BAIXADA SANTISTA,354100 Praia Grande
RRAS 09,3506 BAURU,35063 POLO CUESTA,354105 Pratânia
RRAS 09,3506 BAURU,35062 BAURU,354110 Presidente Alves
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,354120 Presidente Bernardes
RRAS 11,3511 PRESIDENTE PRUDENTE,35114 EXTREMO OESTE PAULISTA,354130 Presidente Epitácio
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,354140 Presidente Prudente
RRAS 11,3511 PRESIDENTE PRUDENTE,35114 EXTREMO OESTE PAULISTA,354150 Presidente Venceslau
RRAS 09,3506 BAURU,35065 LINS,354160 Promissão
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,354165 Quadra
RRAS 11,3511 PRESIDENTE PRUDENTE,35113 ALTO CAPIVARI,354170 Quatá
RRAS 10,3509 MARÍLIA,35095 TUPÃ,354180 Queiroz
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,354190 Queluz
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,354200 Quintana
RRAS 14,3510 PIRACICABA,35103 PIRACICABA,354210 Rafard
RRAS 11,3511 PRESIDENTE PRUDENTE,35113 ALTO CAPIVARI,354220 Rancharia
RRAS 17,3517 TAUBATÉ,35174 V. PARAÍBA-REG. SERRANA,354230 Redenção da Serra
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,354240 Regente Feijó
RRAS 09,3506 BAURU,35062 BAURU,354250 Reginópolis
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,354260 Registro
RRAS 13,3508 FRANCA,35081 TRÊS COLINAS,354270 Restinga
RRAS 08,3516 SOROCABA,35162 ITAPEVA,354280 Ribeira
RRAS 13,3503 ARARAQUARA,35034 CORAÇÃO DO DRS III,354290 Ribeirão Bonito
RRAS 08,3516 SOROCABA,35162 ITAPEVA,354300 Ribeirão Branco
RRAS 13,3508 FRANCA,35081 TRÊS COLINAS,354310 Ribeirão Corrente
RRAS 10,3509 MARÍLIA,35094 OURINHOS,354320 Ribeirão do Sul
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,354323 Ribeirão dos Índios
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,354325 Ribeirão Grande
RRAS 01,3501 GRANDE SÃO PAULO,35015 GRANDE ABC,354330 Ribeirão Pires
RRAS 13,3513 RIBEIRÃO PRETO,35132 AQUÍFERO GUARANI,354340 Ribeirão Preto
RRAS 13,3508 FRANCA,35081 TRÊS COLINAS,354360 Rifaina
RRAS 13,3503 ARARAQUARA,35031 CENTRAL DO DRS III,354370 Rincão
RRAS 10,3509 MARÍLIA,35095 TUPÃ,354380 Rinópolis
RRAS 14,3510 PIRACICABA,35104 RIO CLARO,354390 Rio Claro
RRAS 14,3510 PIRACICABA,35103 PIRACICABA,354400 Rio das Pedras
RRAS 01,3501 GRANDE SÃO PAULO,35015 GRANDE ABC,354410 Rio Grande da Serra
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,354420 Riolândia
RRAS 08,3516 SOROCABA,35162 ITAPEVA,354350 Riversul
RRAS 11,3511 PRESIDENTE PRUDENTE,35115 PONTAL DO PARANAPANEMA,354425 Rosana
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,354430 Roseira
RRAS 12,3502 ARAÇATUBA,35021 CENTRAL DO DRS II,354440 Rubiácea
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35152 SANTA FÉ DO SUL,354450 Rubinéia
RRAS 09,3506 BAURU,35065 LINS,354460 Sabino
RRAS 10,3509 MARÍLIA,35091 ADAMANTINA,354470 Sagres
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,354480 Sales
RRAS 13,3508 FRANCA,35082 ALTA ANHANGUERA,354490 Sales Oliveira
RRAS 02,3501 GRANDE SÃO PAULO,35011 ALTO DO TIETÊ,354500 Salesópolis
RRAS 10,3509 MARÍLIA,35091 ADAMANTINA,354510 Salmourão
RRAS 14,3510 PIRACICABA,35103 PIRACICABA,354515 Saltinho
RRAS 08,3516 SOROCABA,35163 SOROCABA,354520 Salto
RRAS 08,3516 SOROCABA,35163 SOROCABA,354530 Salto de Pirapora
RRAS 10,3509 MARÍLIA,35094 OURINHOS,354540 Salto Grande
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,354550 Sandovalina
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,354560 Santa Adélia
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,354570 Santa Albertina
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,354580 Santa Bárbara d'Oeste
RRAS 17,3517 TAUBATÉ,35171 ALTO VALE DO PARAÍBA,354600 Santa Branca
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35152 SANTA FÉ DO SUL,354610 Santa Clara d'Oeste
RRAS 14,3510 PIRACICABA,35101 ARARAS,354620 Santa Cruz da Conceição
RRAS 13,3513 RIBEIRÃO PRETO,35133 VALE DAS CACHOEIRAS,354625 Santa Cruz da Esperança
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35142 MANTIQUEIRA,354630 Santa Cruz das Palmeiras
RRAS 10,3509 MARÍLIA,35094 OURINHOS,354640 Santa Cruz do Rio Pardo
RRAS 13,3503 ARARAQUARA,35033 NORTE DO DRS III,354650 Santa Ernestina
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35152 SANTA FÉ DO SUL,354660 Santa Fé do Sul
RRAS 14,3510 PIRACICABA,35104 RIO CLARO,354670 Santa Gertrudes
RRAS 02,3501 GRANDE SÃO PAULO,35011 ALTO DO TIETÊ,354680 Santa Isabel
RRAS 13,3503 ARARAQUARA,35031 CENTRAL DO DRS III,354690 Santa Lúcia
RRAS 14,3510 PIRACICABA,35103 PIRACICABA,354700 Santa Maria da Serra
RRAS 11,3511 PRESIDENTE PRUDENTE,35111 ALTA PAULISTA,354710 Santa Mercedes
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35152 SANTA FÉ DO SUL,354740 Santa Rita d'Oeste
RRAS 13,3513 RIBEIRÃO PRETO,35132 AQUÍFERO GUARANI,354750 Santa Rita do Passa Quatro
RRAS 13,3513 RIBEIRÃO PRETO,35132 AQUÍFERO GUARANI,354760 Santa Rosa de Viterbo
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,354765 Santa Salete
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,354720 Santana da Ponte Pensa
RRAS 05,3501 GRANDE SÃO PAULO,35014 ROTA DOS BANDEIRANTES,354730 Santana de Parnaíba
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,354770 Santo Anastácio
RRAS 01,3501 GRANDE SÃO PAULO,35015 GRANDE ABC,354780 Santo André
RRAS 13,3513 RIBEIRÃO PRETO,35133 VALE DAS CACHOEIRAS,354790 Santo Antônio da Alegria
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,354800 Santo Antônio de Posse
RRAS 12,3502 ARAÇATUBA,35021 CENTRAL DO DRS II,354805 Santo Antônio do Aracanguá
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35142 MANTIQUEIRA,354810 Santo Antônio do Jardim
RRAS 17,3517 TAUBATÉ,35174 V. PARAÍBA-REG. SERRANA,354820 Santo Antônio do Pinhal
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,354830 Santo Expedito
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,354840 Santópolis do Aguapeí
RRAS 07,3504 BAIXADA SANTISTA,35041 BAIXADA SANTISTA,354850 Santos
RRAS 17,3517 TAUBATÉ,35174 V. PARAÍBA-REG. SERRANA,354860 São Bento do Sapucaí
RRAS 01,3501 GRANDE SÃO PAULO,35015 GRANDE ABC,354870 São Bernardo do Campo
RRAS 01,3501 GRANDE SÃO PAULO,35015 GRANDE ABC,354880 São Caetano do Sul
RRAS 13,3503 ARARAQUARA,35034 CORAÇÃO DO DRS III,354890 São Carlos
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,354900 São Francisco
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35142 MANTIQUEIRA,354910 São João da Boa Vista
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35154 FERNANDÓPOLIS,354920 São João das Duas Pontes
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35154 FERNANDÓPOLIS,354925 São João de Iracema
RRAS 11,3511 PRESIDENTE PRUDENTE,35111 ALTA PAULISTA,354930 São João do Pau d'Alho
RRAS 13,3508 FRANCA,35082 ALTA ANHANGUERA,354940 São Joaquim da Barra
RRAS 13,3508 FRANCA,35081 TRÊS COLINAS,354950 São José da Bela Vista
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,354960 São José do Barreiro
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35143 RIO PARDO,354970 São José do Rio Pardo
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35155 SÃO JOSÉ DO RIO PRETO,354980 São José do Rio Preto
RRAS 17,3517 TAUBATÉ,35171 ALTO VALE DO PARAÍBA,354990 São José dos Campos
RRAS 04,3501 GRANDE SÃO PAULO,35013 MANANCIAIS,354995 São Lourenço da Serra
RRAS 17,3517 TAUBATÉ,35174 V. PARAÍBA-REG. SERRANA,355000 São Luís do Paraitinga
RRAS 09,3506 BAURU,35063 POLO CUESTA,355010 São Manuel
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,355020 São Miguel Arcanjo
RRAS 06,3501 GRANDE SÃO PAULO,35016 SÃO PAULO,355030 São Paulo
RRAS 14,3510 PIRACICABA,35103 PIRACICABA,355040 São Pedro
RRAS 10,3509 MARÍLIA,35094 OURINHOS,355050 São Pedro do Turvo
RRAS 08,3516 SOROCABA,35163 SOROCABA,355060 São Roque
RRAS 17,3517 TAUBATÉ,35173 LITORAL NORTE,355070 São Sebastião
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35143 RIO PARDO,355080 São Sebastião da Grama
RRAS 13,3513 RIBEIRÃO PRETO,35132 AQUÍFERO GUARANI,355090 São Simão
RRAS 07,3504 BAIXADA SANTISTA,35041 BAIXADA SANTISTA,355100 São Vicente
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,355110 Sarapuí
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,355120 Sarutaiá
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,355130 Sebastianópolis do Sul
RRAS 13,3513 RIBEIRÃO PRETO,35132 AQUÍFERO GUARANI,355140 Serra Azul
RRAS 15,3507 CAMPINAS,35074 CIRCUITO DAS ÁGUAS,355160 Serra Negra
RRAS 13,3513 RIBEIRÃO PRETO,35132 AQUÍFERO GUARANI,355150 Serrana
RRAS 13,3513 RIBEIRÃO PRETO,35131 HORIZONTE VERDE,355170 Sertãozinho
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,355180 Sete Barras
RRAS 13,3505 BARRETOS,35051 NORTE-BARRETOS,355190 Severínia
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,355200 Silveiras
RRAS 16,3507 CAMPINAS,35071 BRAGANÇA,355210 Socorro
RRAS 08,3516 SOROCABA,35163 SOROCABA,355220 Sorocaba
RRAS 12,3502 ARAÇATUBA,35022 DOS LAGOS DO DRS II,355230 Sud Mennucci
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,355240 Sumaré
RRAS 12,3502 ARAÇATUBA,35022 DOS LAGOS DO DRS II,355255 Suzanápolis
RRAS 02,3501 GRANDE SÃO PAULO,35011 ALTO DO TIETÊ,355250 Suzano
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,355260 Tabapuã
RRAS 13,3503 ARARAQUARA,35032 CENTRO OESTE DO DRS III,355270 Tabatinga
RRAS 04,3501 GRANDE SÃO PAULO,35013 MANANCIAIS,355280 Taboão da Serra
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,355290 Taciba
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,355300 Taguaí
RRAS 13,3505 BARRETOS,35052 SUL-BARRETOS,355310 Taiaçu
RRAS 13,3505 BARRETOS,35052 SUL-BARRETOS,355320 Taiúva
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35142 MANTIQUEIRA,355330 Tambaú
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35155 SÃO JOSÉ DO RIO PRETO,355340 Tanabi
RRAS 08,3516 SOROCABA,35163 SOROCABA,355350 Tapiraí
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35143 RIO PARDO,355360 Tapiratiba
RRAS 13,3505 BARRETOS,35052 SUL-BARRETOS,355365 Taquaral
RRAS 13,3503 ARARAQUARA,35033 NORTE DO DRS III,355370 Taquaritinga
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,355380 Taquarituba
RRAS 08,3516 SOROCABA,35162 ITAPEVA,355385 Taquarivaí
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,355390 Tarabai
RRAS 10,3509 MARÍLIA,35092 ASSIS,355395 Tarumã
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,355400 Tatuí
RRAS 17,3517 TAUBATÉ,35174 V. PARAÍBA-REG. SERRANA,355410 Taubaté
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,355420 Tejupá
RRAS 11,3511 PRESIDENTE PRUDENTE,35115 PONTAL DO PARANAPANEMA,355430 Teodoro Sampaio
RRAS 13,3505 BARRETOS,35052 SUL-BARRETOS,355440 Terra Roxa
RRAS 08,3516 SOROCABA,35163 SOROCABA,355450 Tietê
RRAS 10,3509 MARÍLIA,35094 OURINHOS,355460 Timburi
RRAS 09,3506 BAURU,35063 POLO CUESTA,355465 Torre de Pedra
RRAS 09,3506 BAURU,35064 JAU,355470 Torrinha
RRAS 13,3503 ARARAQUARA,35031 CENTRAL DO DRS III,355475 Trabiju
RRAS 17,3517 TAUBATÉ,35174 V. PARAÍBA-REG. SERRANA,355480 Tremembé
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35152 SANTA FÉ DO SUL,355490 Três Fronteiras
RRAS 16,3507 CAMPINAS,35071 BRAGANÇA,355495 Tuiuti
RRAS 10,3509 MARÍLIA,35095 TUPÃ,355500 Tupã
RRAS 11,3511 PRESIDENTE PRUDENTE,35111 ALTA PAULISTA,355510 Tupi Paulista
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,355520 Turiúba
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35154 FERNANDÓPOLIS,355530 Turmalina
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,355535 Ubarana
RRAS 17,3517 TAUBATÉ,35173 LITORAL NORTE,355540 Ubatuba
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,355550 Ubirajara
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35155 SÃO JOSÉ DO RIO PRETO,355560 Uchoa
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,355570 União Paulista
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,355580 Urânia
RRAS 09,3506 BAURU,35065 LINS,355590 Uru
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,355600 Urupês
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,355610 Valentim Gentil
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,355620 Valinhos
RRAS 12,3502 ARAÇATUBA,35021 CENTRAL DO DRS II,355630 Valparaíso
RRAS 16,3507 CAMPINAS,35071 BRAGANÇA,355635 Vargem
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35142 MANTIQUEIRA,355640 Vargem Grande do Sul
RRAS 04,3501 GRANDE SÃO PAULO,35013 MANANCIAIS,355645 Vargem Grande Paulista
RRAS 16,3507 CAMPINAS,35073 JUNDIAÍ,355650 Várzea Paulista
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,355660 Vera Cruz
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,355670 Vinhedo
RRAS 13,3505 BARRETOS,35052 SUL-BARRETOS,355680 Viradouro
RRAS 13,3505 BARRETOS,35052 SUL-BARRETOS,355690 Vista Alegre do Alto
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,355695 Vitória Brasil
RRAS 08,3516 SOROCABA,35163 SOROCABA,355700 Votorantim
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,355710 Votuporanga
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,355715 Zacarias
